"00E2H310","0","http://www.wikidata.org/entity/Q12937355 http://www.wikidata.org/entity/Q13165453 http://www.wikidata.org/entity/Q15622934 http://www.wikidata.org/entity/Q15978631 http://www.wikidata.org/entity/Q19747380 http://www.wikidata.org/entity/Q20081334 http://www.wikidata.org/entity/Q20718421 http://www.wikidata.org/entity/Q25694299 http://www.wikidata.org/entity/Q31149103 http://www.wikidata.org/entity/Q31829329 http://www.wikidata.org/entity/Q5 http://www.wikidata.org/entity/Q60594690"
"00E2H310","1","http://www.wikidata.org/entity/Q11773892 http://www.wikidata.org/entity/Q11961900 http://www.wikidata.org/entity/Q16518023 http://www.wikidata.org/entity/Q25653626 http://www.wikidata.org/entity/Q29701762 http://www.wikidata.org/entity/Q486972 http://www.wikidata.org/entity/Q6646886"
"00E2H310","2","http://www.wikidata.org/entity/Q25630031 http://www.wikidata.org/entity/Q25633448 http://www.wikidata.org/entity/Q3591847 http://www.wikidata.org/entity/Q3624078"
"0AJSJYAL","0","http://www.wikidata.org/entity/Q12937355 http://www.wikidata.org/entity/Q13165453 http://www.wikidata.org/entity/Q15622934 http://www.wikidata.org/entity/Q15978631 http://www.wikidata.org/entity/Q19747380 http://www.wikidata.org/entity/Q20081334 http://www.wikidata.org/entity/Q20718421 http://www.wikidata.org/entity/Q25694299 http://www.wikidata.org/entity/Q31149103 http://www.wikidata.org/entity/Q31829329 http://www.wikidata.org/entity/Q5 http://www.wikidata.org/entity/Q60594690"
"0D70DN48","0","http://www.wikidata.org/entity/Q12372505 http://www.wikidata.org/entity/Q13170800 http://www.wikidata.org/entity/Q19653674 http://www.wikidata.org/entity/Q23397 http://www.wikidata.org/entity/Q2759900 http://www.wikidata.org/entity/Q3391202 http://www.wikidata.org/entity/Q56296563 http://www.wikidata.org/entity/Q7348124"
"0D70DN48","2","http://www.wikidata.org/entity/Q20514736 http://www.wikidata.org/entity/Q852446"
"0D70DN48","3","http://www.wikidata.org/entity/Q20514736 http://www.wikidata.org/entity/Q852446"
"0H1C2CNE","0","http://www.wikidata.org/entity/Q25591543 http://www.wikidata.org/entity/Q35657 http://www.wikidata.org/entity/Q47008"
"0IR0XIUW","0","http://www.wikidata.org/entity/Q12937355 http://www.wikidata.org/entity/Q13165453 http://www.wikidata.org/entity/Q15622934 http://www.wikidata.org/entity/Q15978631 http://www.wikidata.org/entity/Q19747380 http://www.wikidata.org/entity/Q20081334 http://www.wikidata.org/entity/Q20718421 http://www.wikidata.org/entity/Q25694299 http://www.wikidata.org/entity/Q31149103 http://www.wikidata.org/entity/Q31829329 http://www.wikidata.org/entity/Q5 http://www.wikidata.org/entity/Q60594690"
"0IR0XIUW","1","http://www.wikidata.org/entity/Q20074337 http://www.wikidata.org/entity/Q21916828 http://www.wikidata.org/entity/Q3967382"
